movie,sentiment,comment
Mumya,positive,izlediğim en güzel mumya filmi...filmdeki ince espiriler falan çok güzeldi
Mumya,positive,komedi ile korku bir arada harika ve fantastik bir film...
Mumya,positive,gusel fılmdı efeklerı konusu ıyıdı ızlenır derım klasık olmasa bıle bekledıgımden daha basarılı bır fılımdı....
Köstebek,positive,sıddetle tavsıye edıyorum 10/9
Köstebek,positive,bana bu filmi nerede bulabileceğimi söyleyin.şu anda izlemek için bütün cd merkezlerini dolaştım yok yok yok.bu film bence mükemmeldir.tabi mükemmel olacak en çok sevdiğim iki oyuncu deep ve pacino oynuyor.
Köstebek,positive,"Burada slamdunk/ arkadaşımızın dediklerini doğruı buluyorum filmde tek eksik yan Al Pacino babamızın pek kendini göstermeyi başaramamış gibi geldi banada ama herşeye rağmen Depp ve Al Pacino mükemmel bir birliktelik sergilemişler...Bu filmden yeni haberim oldu Depp ile Pacino yu beraber bir filmde göreceğimi aklıma gelmezdi.Bu filmi gördüğümde şaşırdım doğrusu...Gerçekten mükemmel bir film olmuş...
9/10"
Köstebek,positive,"Sağlam mafya filmlerinden biri,kaliteli oyuncu kadrosu ile de ilgi çekiyor..Pacino-De Niro karşılaştırması olarak algılanmasın ama film olarak aynı paralel de olduğu Good Fellas ile karşılaştırılınca köstebek sönük kalıyor.Ama süper bir mafya filmi olduğu inkar edilemez.10/9"
Köstebek,positive,joonn deeep gercekten ıyı ıs cıkarmıs fılmın senaryosuda ıyı denılebılecek turden we muzıkler carlıtonun yolunda werılen oharıka taddakı muzıkler patrıck doyle farkıyla bu fılımdede karsımızda fılımgercekten orjınal sesıyle ızlenırse kalıtesı ortada olan bır alpacıno fılmı caresız ama hırslı gelecegınden umıtsız bır mafya uyesı adam alpacıno ızlenmezmı tabıkıde ızlenır....
Köstebek,positive,"Film gerçekten beklediğimden çok güzel çıktı. Al Pacino'yu yine mafya olarak görmek güzeldi. Ama dikkat! Al Pacino bu filmde ezilmiş bir mafya karakterini başarıyla canlandırıyor. Johny Deep'i de kutlamak isterim;rolünün hakkının üstesinden fazlasıyla gelmiş. Filmdeki müziklerin bir kısmı duygusal nitelikteydi. Hele jenerikte çalan parça biraz duygusaldı. Bazı arkadaşlar bu film için ""sıradan bir tv filmi"" demişler. Buradan onlara sesleniyorum: yapmayın arkadaşlar, normal bir tv filmiyle bu filmi aynı kefeye koyamaz ve karşılaştıramazsınız. Ayrıca bu filmde Michael Madsen'in olduğunu unutmayalım. Bu muhteşem üçlü ve muhteşem bir film. 9/10"
Köstebek,positive,yine bir al pacino klasiği bakmanızı tavsiye edebilecebim güzel filmlerden tabi ki scar face ve charlito's way dan sonra güzel bir mafya filmi zaten al pacino varsa başka söze gerek yok
Köstebek,positive,"cok guzel bir film, siddetle herkese tavsiye ediyorum"
Köstebek,positive,ilk başlarda sıkıcı gelebilir ama film müthiş..abicm adı köstebek alupta kötü olan varmıdırki konu itibariyle çekici bir konu binbirşey türetilip dev oyuncularla çekmişler işte johhny depp ve al pacino başrolde..
Köstebek,positive,güzel bir mafya filmiydi ancak filmde beni en çok etkileyen al pacino ve johnny depp in harika performanslarıydı özellikle de johnny depp çok ağır bir rolün altından başarıyla kalkmayı başarmış ve donnie nin kararsızlığını çok iyi yansıtmış bu tarz filmleri sevenler bunu da çok sever
Köstebek,positive,harika bi filmdi johnny deep ile al pacino arasındaki uyum harikaydı.
Köstebek,positive,hani izlenmeden ölmemesi gerekilen filmler vardır ya...birde tabi sinemanın tanrısı olan bir adam...al pacino(sonny)...
Köstebek,positive,"Çok sevdiğim iki oyuncu başrolünde olduğu bir film bile olsa abartılacak bir yanı yok bence.Ben daha mafyavari daha silahlı entrikalı bir film bekliyordum,burda daha çok işin insani boyutlarıyla ve kahramanların psikolojik durumlarıyla ilgilenilmiş.Yer yer çok etkileyici sahne geçişlerine ve sağlam diyaloglara sahip film kesinlikle izlenmeyi hakediyor."
Köstebek,negative,"Johnny Depp ve Al Pacino birlikte diye benim yaptığım gibi heyecan yapmayın.. Hayal kırıklığı oluyor çünkü sonunda, hatta daha ortasında."
Köstebek,positive,Al Pacino ve Johnny Deppin efsane performansı.  Izlemenizi kesinlikle tavsiyye ederim. Süper film. 5/5. Beyazperde eleştirisi gelsin lütfen :)
Köstebek,positive,İyi ve kötünün birbirine nasıl karıştığını gösteren kaliteli bir film. Filmin sonunda bir çok şeyin anlamını sorguluyorsunuz.
Köstebek,positive,iki mükemmel oyuncu bir araya gelirse ne mi oluşur?tabiki köstebek gibi mükemmel senaryolu bir film oluşur.tek kelimeyle şahane.
Köstebek,positive,"johnny depp mükemmeldi,Al Pacinoda! tv filmi değil yapmayın...gayet iyi bir film!"
Köstebek,positive,johnny deppi al pacinoyla birlikte bir mafya filminde izlemek muhteşem her role girebilen depp bence dünyanın en iyi oyuncusu   johnny deppi gözleriyle izlemeyen insanlar tabi beğenmez!!!johnny depp midir nedir dediğiniz insanı once karayiplerde izleyin sonra diğer filmlerini izleyin  ------- depp dışında hiç kimse makas ellerdeki gibi oynayamaz  korsan rolunden sonra willy wonka rolunu çocukların  olduğu kadar büyüklerinde hoşuna gidebilecek bir ustalıkta oynıyamaz    filmleri adam gibi izleyin sonra yorum yapın  --------------ayrıca al pacino da cok güzel oynamış kacırmayın bu filmi
Gerçeğe Çağrı,positive,arkadaşlar bugun izleme fırsatı buldum biraz ön yargılı girdim ama muhteşem ötesi bir filmle karşılaştım özellikle görsel şölene diyecek yok konusu çok iyi aksiyon hiç durmuyor bide oyunculuk eklenince güzel bir film çıkmış colin almış götürmüş bu arada ben Kate Beckinsale oyunculuğunu çok beğendim sizde dikkat edin şiddetle tavsiye ediyorum çok şey kaçırırsınız iyi sehirler
Gerçeğe Çağrı,negative,öncelikle şunu söylemek istiyorum:bu film ilk filmin yakınına bile yaklaşamamış.oyunculuk ve aksiyon güzel ama ilk filmde olduğu gibi insanın içine işleyen o kurgu yok.en azından bu filmin adını değiştirebilirlerdi zira taklit olmuş.senaryoyu biraz değiştirmişler o dahada basit yapmış filmi çünkü çok kısa anlatmışlar konuyu daha çok aksiyona yüklenmişler.böylece film klasik aksiyon filmi gibi olmuş.en azından uzay sahneleri olsaymış biraz daha iyi olabilirmiş bence.sonuç olarak oyunculuk güzel ama senaryo taklit olmuş.10/6 oyunculuk için...
Gerçeğe Çağrı,negative,colin farrell bu adamı niye sevmezler anlamıyorum.filme gelirsek fikir çok güzel ama sanki film kırpılmış gibi bir sürü eksik var hani izlenmeyecek gibi değil ama vay be de demem.gerçek dünyada mı yoksa uykuda mı olduğu konusunda hiç düşünmedi
Gerçeğe Çağrı,positive,erdi.bir de sonu var sentetik askerleri 4 5 tane bombayla yok etti daha karmaşık olabilirdi.
Gerçeğe Çağrı,positive,"Paul Verhoeven'in filmini çok değerli bulanların sevmemesi gerçekten çok normal ve anlayabiliyorum bunu.Kaldı ki ilk filmin hayranlarından olmasam da iyi bir bilimkurgu olduğuna katılırım.Ama bu aksiyona bulanmış ve adeta nefes aldırmayan 2012 versiyonunu da çok beğendim.Evet,hap haline getirilip kolay tüketime sunulmuş belki ama filmdeki çok başarılı atmosfer ve gelecek tasviri,ya da benzerlerinde çokça karşımıza çıkmasına rağmen öyle hiç de ihmal edilmemiş entrika ayağıyla ortalamanın üzerinde bir aksiyon (bilimkurgu tarafı biraz daha geride kalıyor).Şaşırtma konusunda da hiç fena olmadığını söyleyebilirim.Verhoeven versiyonu kadar kaliteli olmayabilir,bu tartışmaya açık ama daha dinamik ve farklı bir bakış.Çok fazla eleştirildiği kanısındayım,iyi bir film bence."
Gerçeğe Çağrı,negative,"İlk filmi seyretmiş bir izleyici olarak Arnold'lu filmden aldığım tadı Colin'li filmden kesinlikle bulamadım derim. Evet bu film de kötü değil, aksiyonu bol, izlenebilir bir film ama ilk filmle hem konu aynı paralelde akmıyor... Arnold'un ve Sharon Stone'un yerleri doldurulamamış derim, final olarak da ilk film çok görkemliydi... İlk filmi izlemeyenler için bayağı aksiyon dolu güzel bir film denebilir tabii..."
Gerçeğe Çağrı,positive,"Alışılagelmiş bir kural vardır, yeniden çevrimler ilkinin gölgesinde kalan başarısız yapımlar olur, açıkçası izlemeden önce yine aynı durumun söz konusu olacağı düşüncesindeydim fakat bu kuralın geçerli olmadığı nadir filmlerden biriyle karşılaştım, Arnold'lı ilk çevrimi kadar iyi olamasa da sıkılmadan izlenebilecek bir film."
Gerçeğe Çağrı,positive,"İlk Total Recall hepimizin belleğinde. Çekildiği dönem için çok başarılı bir filmdi. Bu filmin handikapı öyle iyi bir filmin yeniden çevrimi olmasıydı bana göre. Ama o handikapı aşmış bence. Başarılı buldum, zevkkle ve heyecanla izledim. Bilim Kurgu severlere kesinlikle tavsiye ederim."
Gerçeğe Çağrı,positive,Colin Farrell ve Jessica Biel ikilisi Arnold'ı devirmiş desem yeri var. Bu yeni versiyonu daha hareketli heyecanlı ve oyunculuk daha hat safhada.
Gerçeğe Çağrı,negative,Film konu olarak ilk filmden alıntılar var. Ancak daha önceki Arnold'ın Douglas Quake' iseyrettikten sonra Colin Farell çok hafif kalmış. Kate Beckinsale Lori karekteriyle çok iyi bir iş çıkarmasına rağmen Jesica Biel çok sıradan bir oyun ortaya koymuş. Yinede güzel bir film olmuş. Ama çok daha iyisini yapabilirlermiş.
Gerçeğe Çağrı,negative,"Filme objektif bakış açısıyla gitmediğimi belirtmek isterim; Kate Beckinsale'yi izlemeye doyamadığım için gittim. 
Total Recall; ""Arnold""un Total Recall filmindeki klişeleri içinde barındırarak geçmişle kıyaslama yaptırıyor, ancak senaryosunun ana fikri dışında benzerliği yok. Daha ilk 5 dakikasında başlayan aksiyon filmin son sahnesine kadar devam ediyor. Tabi son sahneye kadar ana karakterin gerçekte mi yoksa hayallerde mi yaşadığına karar veremiyorsunuz. Rollerin hakkını fazlasıyla veren 3 temel karakter ve orta düzey bilim kurgu (çünkü o zamana nasıl gelindiğine pek değinilmiyor) ile seyri keyi"
Gerçeğe Çağrı,positive,
Gerçeğe Çağrı,positive,"İzlemeden önce kararsızdım ama izledikten sonra keşke önceden izleseymişim dedim.Aksiyon baştan sona durmuyor,hep bir hareket,kovalamaca var zaten,colin farrell'a iki güzel bayan eşlik ediyor,senaryo da oldukça tatmin edici ve klişe değil ee geriye de izlemekten başka bişiy kalmıyor.."
Gerçeğe Çağrı,positive,"Öncelikle Ali Ercivan'in elestirisindekine benzer sekilde düsünmedigimi belirterek baslayayim.Kutsal Savasçi gibi son derece siradan ve aksiyondan yoksun bir aksiyon filmine 3 yildiz vermis elestirmenimiz,bence birçok yönüyle izleyicisini tatmin eden Gerçege Çagri'ya 2 yildizi uygun görmüs,katilmam mümkün degil.Gelelim filme,bir yapimin içinde Colin Farrell varsa her zaman olaya mesafeli yaklasan biriyim.Ama gördüm ki burdaki Hauser karakteri ona çok uymus,oldukça basariliydi.Mekanlar üzerine çok çalisilmis,her türlü ayrintilarina özen gösterildigi belli olan iki görkemli sehir yaratilmis.Efektlerle birlikte görsellik mükemmel.Ilk 5 dakika içinde aksiyon basliyor ve filmin son sahnesine kadar devam ediyor.Sikilmak mümkün degil.Ara ara kliselere basvursa,zaman zaman tikansa da kurgusu yeterince tatminkar.Izleyenlerin kafasindaki soru isaretlerine son ana kadar cevap verilmemesi de ayri bir sürükleyicilik katmis.Genel itibariyle filmi begendigimi ve Dark Knight Rises'da bulamadigim birçok özelligi(dinamizm,sürükleyicilik,kurgulama,yaratici mekanlar,kahramanin daha fazla sorumluluk almasi gibi) burda buldugumu belirterek...7,5/10"
Gerçeğe Çağrı,positive,"Eski versiyonunu izlemediğimden kıyaslama yapamıyorum ancak film olarak değerlendirince bana kalırsa tatmin edici bir aksiyon-bilim kurgu karışımı olmuş. Oyunculukları da oldukça başarılı buldum, süprizlerle dolu, filmden kopmanızı önleyecek bir senaryoydu.  İzlemenizi tavsiye ederim"
Gerçeğe Çağrı,negative,"Film güzeldi. Bence ismi total recall olmamalıydı. illaki ilk filmle karşılaştırma yapıldığından bir eksiklik olmasa da onun gölgesinde kalmış oldu. Çünkü ilk filmi seyredenler doğal olarak senaryoyu bildiğinden film olumsuz etkilemiş oldu. 
senaryo biraz sade kalmış ama aksiyon kısmına hiç eleştiri geleceğini sanmıyorum. Ve filmde adamın karmaşık düşünceleri iyi işlenememişdi. .arnold lu filmde daha gerçekçiydi sanki diye hatırlıyorum. yada ondan sonra bunu izlediğim için bana öyle geldi. Kötülemeye gerek yok.

iyi yanlarına gelince ki daha fazla: 
her sahnede posterde de yazdığı gibi what is real? yani "" hangisi gerçek"" .
hep çelişkili izlemiş oldum. adam yakışıklı kızlar güzel aksiyon süper .. daha da izlenmesin mi :)"
Gerçeğe Çağrı,positive,Arnold Schwarzenegger ve Sharon Stone’lu ilk çevrim tam bir bilim kurgu klasiği olarak belleklerimizde yer almıştı. Türünün yaratıcı ve şaşırtıcı özelliklerinin yanı sıra eğlenceli ve enerjik anlatımıyla hepimizin beğenisini kazanmıştı. Yeni versiyonun senaryosunu beş yazar birlikte yazmış. Anlatım esnasında kafa karıştıran Mars gezegeni ise öyküden tamamen çıkartılmış. Olaylar kimyasal savaşın ardından başkalaşmış bir dünyada geçiyor.
Gerçeğe Çağrı,negative,"Film özelinde bakacak olursak farklı gibi görünen, görsellerle biraz süslenmiş ama aslında sıradan olan bir film. Filme benzer filmleri düşününce aklıma bir sürü bu konuyla sıradan bir çok film geliyor. Kurgusu ve senaryosu çok zayıf ama yaratılan atmosfer ve bir iki tane ilginç durum sayesinde izlettiriyor kendisini.

Colin Farrell başarılı bir oyuncu. Burada çok oyunculuk ön plana çıkmasa da kalitesini belli ediyor. Ayrıca bu sene fargo da izlediğim psikopat siyahi abmizi burada görüce durun durun dedim, ben bu adamı tanıyorum. Sonra bakınca gördüm ki bizim reis çıktı. 

Filmden ayrı olarak...Bu filmi normalde ikinci kez izlemezdim, yalnız ekstra bir durum oldu. Şöyle ilk defa bir filmi 4K özelliğiyle izledim. Çok yüksek gb olduğu için ve bu film en çok paylaşılan olduğundan bunu indirdim. Yoksa sıradan bir film ve izlediğim bir film. Neyse 4K nasıl derseniz, Colin Farrell göğüs kıllarını bile sayabilirsiniz o kadar net. Ama bu teknolojiyi kullanmak için daha çok erken zira ortada bu kalitede çekilen film ya çok az ya da bulunmuyor. Ve indirmeye kalktığınızda normal bir filmin, 20,30 katı büyük boyutlarda indirmek zorunda kalıyorsunuz. Zor iş. Ve o kadar büyük dosyayı saklamakta sıkıntı. 

Çok tavsiye etmiyorum. İzlemezseniz hiç bir şey kaybetmezsiniz. İyi seyirler... 4.6/10"
Yenilmez,positive,rocky nin yerini tutamaz ama buda güzel...
Yenilmez,positive,"Böyle bi film bu kadar az puan nasıl alıyor hayret verici..Mükemmel bir film.Bilmiyorum belkide böyle konuşmamın sebebi seneryonun çekiciliği ama zannetmiyorum,oyunculuklarda harika.2.sinide izlemek için sabırsızlanıyorum,umarım 1 i aratmaz.."
Yenilmez,positive,Çekişmenin ve rekabetin hat safhada olduğu güzel bi film.Ayrıca hırsın insana neler yaptırabileceğini gösteriyor.
Yenilmez,positive,"Hakettiği değeri göremediğini düşündüğüm filmlerden.Tabii ki bir başyapıt beklememek lazım ama sürenin nasıl geçtiğini anlamadığınız,bir solukta izlenen,Walter Hill in ustalığından nasibini fazlasıyla almış bir aksiyon."
Yenilmez,positive,güzel bir filmdi...baştan sona sürükleyici ve keyifli...ben sıkılmadan izledim...dövüş sahneleri gayet iyi...snipes yine karizma :D...izlenebilir...10/7
Yenilmez,positive,filmi dün gece tv'de izledim... gerçi ben boksörümüzün hapishaneye girmesi öncesinde izlemeye başladım... yani filmde wesley snipes'ı hiç izlemedim ama izlediğim 1 saat oldukça hoşuma gitti... özellikle boks sahneleri oldukça keyifliydi
Yenilmez,positive,gerçekten çok süper bir film ben zaten wesley snipes hayranı olduğum için onun her film çok süper gerçekten aksiyon filmi ustasıdır ve bu filmindede yine ustalığını ve uyumunu sergilemiştir.
Yenilmez,positive,güzeldi aslınd ama ben 2.sini daha çok sevdım bu senede 3.cüsü çekiliyor oda güzel olcak gibi.. 7/10
Yenilmez,negative,"Peşinden çekilen, iki devam filmi çok daha iyidi..."
Yenilmez,positive,"aslında benim izledigim tam olarak bu film degildi, undisputed 2'yi (2006 yapımı) izledim ve konu olarak aynı olmasına ragmen ufak tefek farklılıklar var. 2. filmde chambers tecavüz suçundan degil de mafya tarafından uyuşturucu tuzagına düşürülüp kasıtlı olarak dövüşün düzenlenecegil hapishaneye gönderiliyor. Hapishane içerisinde yine mafyanın oyunları & sıkıştırmaları sonucu 2 defa ringe çıkıyor ve hapishaneden kurtuluyor. Genel olarak akıcı ve güzel bir filmdi dolu dolu 93 dakika ama biraz daha farklılık beklerken basite indirgenmiş bir film olarak dikkatimi çekti."
Yenilmez,positive,Film İyi Ama Undisputed 2 Daha İyi Ama Onuda Koymamışlar Buraya
Yenilmez,positive,filmi gercekten beğendim boks filmleri icinde iyi bir yere de sahip diyebilirim ama boks filmlerinin şampiyonu  varsa o da rocky dir . zaten bu filmin rockylede kıyaslanılması bana göre mantıksız cünkü rockyle tek ortak yönü temel konunun boks olması filmin konu yönüyse gercekten kaliteli bende bu filmin puanını az buldum
Yenilmez,positive,Bu filmin 2.si olağanüstü.Muhteşem dövüş sahneleri var.Kaçırmayın bulursanız
Yenilmez,positive,güzel bir filim.fazla bişey söylemez zor ama
Yenilmez,positive,Çok güzel ve çok hareketli 9/10
Yenilmez,negative,Ekstra bir şeyler bekliyor insan ama biraz basit olmuş..Yine de güzel bir film diyebiliriz fakat hayranlık duyulacak bir yanı yok.. 7/10
Lolita,positive,"Jeremy Irons ve Dominique Swainın oyunculuğunda Adrian Lynenin yönetiminde, çıplaklık kolaycılığına kaçmadan Humbertin psikolojisini  adı her ne ise , tutku, aşk, ihtiras, iliklerinize dek hissedeceğiniz sarıp sarmalayan, bir film.
9/10"
Lolita,positive,Konunun ruhunu izleyiciye aktarmayı başarmış sağlam bir yapım.
Lolita,positive,Çok fazla etkileyici bulamamakla beraber kült bir film olduması ve kitlelerin hayranlığını kazanmasına saygı duyuyorum.10/7
Lolita,negative,"evet konu cesur, film farklı ama. (biraz abartacam) videolar çıkınca çocuk pornosu oluyor, herkesin seyredebileceği şekilde yapılınca kült oluyor. elemanın yerinde olmak istemezdim ve böyle aşkın olacağına ve bu kadart ileriye gidebileceğine ben inanmıyor ve inanmak istemiyorum..."
Lolita,positive,"romana daha sadık... j. irons  ondan da önemlisi lo'nun oyunculuktaki başarısı..bunlar olumlu tarafıydı filmin..
beklediğim kadar ii bi film diildi. yine de etkileyiciydi..."
Lolita,positive,"kesinlikle nabokuvun en iyi kitabı denilebilir ve gerçekten beyaz perdeyede çok iyi aktarılmış bir film, filmi izlerken sizde o filmin içinde kayboluyorsunuz. Tek kelimeyle Muhteşem!"
Lolita,positive,film sıradanlık üzerine tüm tabuları devirmiş ama önemli eksikleri de yok değil filmin en önemli ve en çok yer kaplayan rolünü dominique swain oynamasına rağmen 5 dakikayı geçmeyen ufacık rolüne karşılık melannie grifith 2. başrol olmuş bu en büyük kayıp bi kez de olsun izlemekte fayda var ya bakış açınız değişir ya da çok saçma gelir en azından lolita kelimesinin anlamı iyice kavranır
Lolita,positive,Öncelikle Dominique Swainin performansı çok iyiydi. Ancak bu kadar başarılı oynanabilirdi lolita rolü. Buna ek olarak Humbert rolünü Jeremy Irons mükemmel canlandırmış. Sadece Irons için bile bu film izlenir. Nabokovun bu kült romanını okumayanlar için romandan uzaklaşmadan bir uyarlama yapıldığını söyleyebilirim.
Lolita,positive,"tabiki kültürümüzün çok dışında,ahlaka aykırı tarzında görüşler olacaktır ki burda da olmuş:)) her şeyden önce sanat toplumun her sorununu yansıtabilmeli bnu da onlardan biri olarak görüyorum.filmin içeriğine gelince stanley kubrick in lolitasından daha iyi yansıtılmış lolita ruhu adrian lyne tutku öğesini çok daha iyi işlemiş tabi bunda ennio morriconeun da payı olmuş ve jeremy ırons sizi öle bir çelişkide,ikilemde bırakmış ki ondan bir tarafınızla nefret ederken bir tarafınızla da ona sempati duyuyorsunuz...yanisi aması uzunu kısası ben çok beğendim:))))"
Lolita,positive,izliyemedim ki ...........................................................................................................................................................................
Lolita,positive,Hayat denen yolda emin adımlarla yola çıkmak lazım her film her insanda aynı etkiyi yaratmaz bazen gülersin bazen ağlarsın senin durumuna bağlı bişey bu sanırım hepsi bundan ibaret yorum sizlerin herkes her insandan farklıdır
Lolita,positive,ben bu filmi oldukça beğendim ve etkileyici buldum s.kubrick'in çektiği filmden daha iyi olmuştu bence
Lolita,negative,"Filmi iki açıdan değerlendiriyorum ben.Sanatsal açıdan, oyuncuların sergilediği performans açısından gayet iyi olduğu bir gerçek.Kubrick’in Lolita’sından daha iyi bana kalırsa.Ve cesur bir konusu var herkesin malumu olduğu üzere...Ancak, diğer bir açıdan bakıldığında ise filmin konusu mide bulandırıcı ve kesinlikle tarzım olmayan filmlerden.45-50 yaşlarındaki bir adamın 13-14 yaşlarındaki bir kızla ilişki kurması, (herkesçe bilindiği üzere) gerçek hayatta sanatsal açıdan değil, daha çok hukuki açıdan (tabi ki ceza hukuku) ele alınıyor ki bana göre kesinlikle mide bulandırıcı...Lolita filminde anlatılan olayla Pedro Almodovar’ın 'Hable Con Ella-Konuş Onunla' sındaki olay kıyaslanırsa, bence Konuş Onunla’ya saygı duymak gerekir ki muhteşem bir filmdir gerçekten.Kubrick’İn tek sevmediğim filmi de Lolita’dır zaten..."
Lolita,positive,"Degisik ve cekici bir konusu var, izleyin."
Lolita,positive,film hakkında ne diyeceğimi bilemiyorum. kimilerine göre sapıkça kimilerine göre son derece duygusal. dominique swain o yaşta böyle bir rolün altından başarıyla kalkmış. bu filmi mutlaka izleyin. insanda garip duygular bırakıyor.
Lolita,positive,güzel film çok ağladım sonunda
Lolita,negative,yakın zamanda izleme fırsatı buldum kubrikin hayal dünyası ve rejisinden çok uzakta bi  yeniden  çevrim denemesi olmuş.. hak verilmeyecek gibi değil cinselliğin anlatıminda et faktörü artık biraz daha uzakta..özellikle kore sineması  bu konuda yakından takip edilmesi gereknlerin başinda geliyor.. meraklılarına...
Lolita,positive,"Güzel bir film. Dram, çok az komedi ve gerilim içiçe girmiş. Farklı bir konu, iyi bir seyirlik. İzlenmeli..."
Lolita,negative,Filmde iddialı bir konu işlendiğinden dolayı seyircilerin film hakkındaki görüşleri tarafsız olmuyor. Bence bu filme bu puan biraz fazla. 10/3
Lolita,positive,bu filmi ilk izlediğimde duygularıma hakim olamadım ve gerçekten finalde bende agladım galiba izlediğim dram erotik filimlerin içinde en süperide buydu mutlaka izleyin...
Kızıl Ejder,positive,"yaa arkadaşlar güzel yorum yazıyosunuz ama böyle bi şey olmaz insanların emekleriyle oturduğunuz yerde bu kadar rahat dalga geçmemelisiniz. lütfen bunu yapmayın.
   gelelim filme jet li nin 94 yapımı bir filmi ben jet li yi ilk defa böyle tarihi bi filmde izlemek istemişimdir. çünçü o bir aktör olmasından önce büyük bir usta her hareketi mükemmel bi uyumla ve ustalaıkla sergieniyor.94 yapımı olmasına rağmen görüntü ses matrix vari diye tabir edilen ipli sahneler aslında kökeninin nereden geldiğini bu filmle çok daha iyi anlamışsınızdır..bu akımun öncüsü çinliler vede jet li dir arkadaşlar dikkatinizi çekerim bu film 94 yapımı jet li dünya çapında vi başarı yakaladığı için fanatikleri var vizyon salonları 94 yapımı bi filmyle bile ilgi görüyor taktir etmekten başka papıcak bi şey yok ben jet li hayranıyım bu filmi ilk defa duydum vede izledim benim için bir süprizdi mıb2  tereddüt etmeden terketti ve hafta sonumu ve paramı bu filme ayırdım bu filmi getirenlere teşekkürler..."
Kızıl Ejder,positive,"guzeldi..
ama muhakkak seyredin de demem ama seyretmeynde demem..seyi hatrlatıyo,neydi ya,ha kahraman babam filmini...normal olarak çünkü aynı çocuk...herneyse atlı başlangıç sahnesi güzeldii..jet içinde olduğu için izlenebilir..."
Kızıl Ejder,positive,iyi bir fildi 1994 yapımı olmasına ragmen izlenmeye deger....güzel olmasada jet li için izlenirr:)
Kızıl Ejder,negative,JET Lİyine döktürüyor arkadaşlar.Ama ingilizce dublaj berbat ötesi.Yinede hayranlarının zevkle izleyeceği bir film.Ancak bu eski filmde bile JET'in kızı öpmediğini görüyoruz.Bu adam ya gay yada türkan şoray kanunları gibi öpüşmeme kanunu var.Muamma yani.
Kızıl Ejder,positive,jet li 'nin ve oğlu rolündeki küçük karatecinin oyunculuğu çok güzel.aksiyon ve dövüş sahneleri ile film akıcı ilerliyor.ama filmin konusu çok saçma böyle aksiyon yüklü bir filme senaryo uymamış.o yüzden puanımı biraz düşük veriyorum.10/7
Kızıl Ejder,negative,yok böyle bisi kardesim 94 yapimi yaww.. oldu olacak ceki çen in şaban tipi 70 lilerin filmlerini de getirsinlerde seyredelim.. hayret bisi arkadas
